iter	Passed	Remaining
425	2942	511
426	2949	504
427	2955	497
428	2962	490
429	2969	483
430	2975	476
431	2982	469
432	2988	462
433	2994	455
434	3000	448
435	3007	441
436	3013	434
437	3020	427
438	3027	420
439	3033	413
440	3040	406
441	3048	400
442	3054	393
443	3060	386
444	3067	379
445	3072	372
446	3079	365
447	3085	358
448	3091	351
449	3098	344
450	3105	337
451	3112	330
452	3120	323
453	3128	316
454	3136	310
455	3142	303
456	3149	296
457	3157	289
458	3163	282
459	3169	275
460	3176	268
461	3184	261
462	3194	255
463	3202	248
464	3209	241
465	3217	234
466	3224	227
467	3231	220
468	3237	213
469	3245	207
470	3251	200
471	3257	193
472	3264	186
473	3270	179
474	3277	172
475	3285	165
476	3294	158
477	3301	151
478	3306	144
479	3313	138
480	3320	131
481	3326	124
482	3333	117
483	3339	110
484	3345	103
485	3353	96
486	3360	89
487	3367	82
488	3375	75
489	3382	69
490	3389	62
491	3396	55
492	3402	48
493	3409	41
494	3415	34
495	3422	27
496	3429	20
497	3436	13
498	3442	6
499	3450	0
