iter	Logloss
169	0.5369466828
170	0.5369060487
171	0.5368595921
172	0.536792008
173	0.5367400469
174	0.5367057649
175	0.5366735863
176	0.5366156579
177	0.5365553016
178	0.536517508
179	0.5364579333
180	0.5363769267
181	0.5363248422
182	0.536250899
183	0.5361918261
184	0.5361345195
185	0.5360982517
186	0.5360134008
187	0.5359733766
188	0.5359518626
189	0.5359078043
190	0.5358690283
191	0.5358400368
192	0.5357757725
193	0.5357588383
194	0.5357354087
195	0.5356973916
196	0.5356681642
197	0.5355990943
198	0.5355599445
199	0.5355114994
200	0.5354288745
201	0.5353824595
202	0.535324494
203	0.5353098055
204	0.5352721435
205	0.5351919694
206	0.5351504618
207	0.5350735364
208	0.5350491119
209	0.5350214363
210	0.5349854346
211	0.5349362933
212	0.5348867921
213	0.5348334657
214	0.5347987332
215	0.5347694577
216	0.5347219601
217	0.5346648513
218	0.5346261684
219	0.5345696921
220	0.534507934
221	0.5344768992
222	0.5344221715
223	0.5343999061
224	0.534357493
225	0.5343234311
226	0.5342505424
227	0.5342093164
228	0.5341651944
229	0.5340990156
230	0.5340481081
231	0.5340031849
232	0.5339177704
233	0.5338784171
234	0.5338562556
235	0.5338000052
236	0.5337512122
237	0.5337268728
238	0.5336578079
239	0.5336233353
240	0.533583935
241	0.5335628029
242	0.5335096173
243	0.5334803547
244	0.5334357594
245	0.5333992706
246	0.5333729471
247	0.5332947028
248	0.5332897346
249	0.533262033
250	0.5331890025
251	0.5331263775
252	0.5330888387
253	0.5330302926
254	0.5329778003
255	0.532938385
256	0.5328923838
257	0.532834936
258	0.5327744189
259	0.5327155134
260	0.5326407211
261	0.5326043221
262	0.53253457
263	0.5324814736
264	0.5324483626
265	0.5324002263
266	0.5323414331
267	0.5322965683
268	0.5322461865
269	0.5322084236
270	0.5321431566
271	0.5321028073
272	0.5320465055
273	0.5319957461
274	0.5319431737
275	0.5318839598
276	0.5318445593
277	0.5317926217
278	0.5317278704
279	0.5316684826
280	0.5316316161
281	0.5315713343
282	0.5315483546
283	0.5314867127
284	0.5314559368
285	0.5314386032
286	0.531410064
287	0.5313810643
288	0.531307938
289	0.5312375334
290	0.5312071884
291	0.5311549828
292	0.5310972646
293	0.5310498047
294	0.5309812643
295	0.5309381669
296	0.5309099475
297	0.5308659584
298	0.5308283453
299	0.5307932993
300	0.5307471718
301	0.530727356
302	0.5306695757
303	0.5306339286
304	0.5305747473
305	0.5305615031
306	0.5304979324
307	0.5304494013
308	0.5304208286
309	0.5303740828
310	0.5303451316
311	0.5303159269
312	0.5302479145
313	0.5302102615
314	0.5301525393
315	0.5301122926
316	0.53005877
317	0.5300329778
318	0.5299854171
319	0.5299487819
320	0.5298794675
321	0.5298425467
322	0.529810493
323	0.5297721867
324	0.5297248782
325	0.5296857865
326	0.5296458962
327	0.5295969342
328	0.5295729611
329	0.5295215759
330	0.529506685
331	0.5294599585
332	0.5294119007
333	0.5293557891
334	0.5293204453
335	0.5292701628
336	0.5292595834
337	0.5292046303
338	0.5291542517
339	0.529114513
340	0.5290829033
341	0.5290209393
342	0.5289796688
343	0.5289545677
344	0.5289086491
345	0.5288647389
346	0.5288300904
347	0.5287900214
348	0.5287704122
349	0.5287128196
350	0.5286555453
351	0.528615363
352	0.5285832898
353	0.5285492035
354	0.5285118745
355	0.5284624863
356	0.5284255834
357	0.5283709868
358	0.5283458554
359	0.5282939232
360	0.5282287215
361	0.5281815623
362	0.5281235174
363	0.5281216731
364	0.5280774534
365	0.5280600641
366	0.5280132525
367	0.5279640382
368	0.5279374652
369	0.5279116025
370	0.5278668515
371	0.527808275
372	0.5277651233
373	0.5277368676
374	0.5276970193
375	0.5276512773
376	0.5276106126
377	0.5275705379
378	0.5275303964
379	0.5274890607
380	0.5274519975
381	0.5273975046
382	0.5273551833
383	0.5272984349
384	0.5272582381
385	0.5272202523
386	0.5271636286
387	0.5271093257
388	0.5270483123
389	0.5269588117
390	0.5269202781
391	0.5268887942
392	0.5268304853
393	0.5267912047
394	0.5267458392
395	0.5267039912
396	0.5266622194
397	0.5266418637
398	0.5265773674
399	0.5265192675
400	0.5264874325
401	0.5264500639
402	0.5264140426
403	0.5263380963
404	0.5262785116
405	0.5262566061
406	0.5262031782
407	0.5261672936
408	0.5261336756
409	0.5261094539
410	0.5260676885
411	0.5260145487
412	0.5259470053
413	0.5259159734
414	0.5258941734
415	0.5258590389
416	0.5258233628
417	0.5257912306
418	0.5257572327
419	0.5257153878
420	0.5256887025
421	0.5256430231
422	0.5256004881
423	0.5255745803
424	0.525539276
425	0.5255132729
426	0.5254577482
427	0.5254262817
428	0.5253734877
429	0.5253340716
430	0.5253175964
431	0.525279676
432	0.5252430552
433	0.5252067475
434	0.5251897376
435	0.5251395932
436	0.525076143
437	0.5250552704
438	0.5250004832
439	0.5249995802
440	0.5249539832
441	0.5249139993
442	0.5248473893
443	0.5248258749
444	0.5247871802
445	0.5247262982
446	0.524690699
447	0.5246415325
448	0.5245951007
449	0.5245420733
450	0.5245110843
451	0.524475547
452	0.5244429622
453	0.5243967034
454	0.5243480384
455	0.5242961437
456	0.5242485863
457	0.5242099328
458	0.5241838399
459	0.524148087
460	0.5240974985
461	0.5240617257
462	0.5240280744
463	0.5239767953
464	0.5239209359
465	0.5238825847
466	0.5238620233
467	0.5238290397
468	0.5237689132
469	0.5237421541
470	0.5236990996
471	0.5236649431
472	0.5236279562
473	0.5235860036
474	0.5235332096
475	0.5235084107
476	0.5234844616
477	0.5234446107
478	0.5233989907
479	0.5233626578
480	0.523317443
481	0.5232721349
482	0.5232281671
483	0.5231853166
484	0.5231498051
485	0.5231094724
486	0.5230720819
487	0.5230327169
488	0.5229930196
489	0.5229679105
490	0.5229228974
491	0.522882898
492	0.522854166
493	0.5228067355
494	0.5227456713
495	0.5227176278
496	0.5226916842
497	0.5226671123
498	0.5226343341
499	0.5225951429
