iter	Logloss
0	0.6788546997
1	0.6658912271
2	0.6542393427
3	0.6440151534
4	0.634849254
5	0.6264777718
6	0.6192614047
7	0.6126415915
8	0.6066189541
9	0.6013944952
10	0.596421544
11	0.5920046326
12	0.5879189822
13	0.5843263051
14	0.5810288221
15	0.5780309671
16	0.5753601955
17	0.5729791046
18	0.5708466532
19	0.568688531
20	0.5668010735
21	0.5652464572
22	0.5637028656
23	0.5624111675
24	0.5610561336
25	0.559921905
26	0.5588367375
27	0.5577820762
28	0.5568032199
29	0.5559870755
30	0.5552736806
31	0.5545170474
32	0.5538455426
33	0.5531445067
34	0.5524833303
35	0.551894969
36	0.5513764272
37	0.5508319917
38	0.5503954016
39	0.5498895009
40	0.5494949956
41	0.5491610816
42	0.5487680781
43	0.5484532068
44	0.5482063649
45	0.5479425198
46	0.5476345593
47	0.5473711618
48	0.5470951296
49	0.5469003228
50	0.5466519834
51	0.5464164143
52	0.5461823496
53	0.5459837119
54	0.5457707509
55	0.5455856325
56	0.5454247587
57	0.5452622642
58	0.5450981708
59	0.5449741205
60	0.5447945518
61	0.5445780302
62	0.5443850992
63	0.5442510384
64	0.5441061417
65	0.5439505289
66	0.5438621725
67	0.5437112052
68	0.5435730103
69	0.543436245
70	0.5433316228
71	0.5432108555
72	0.5430801052
73	0.5429806285
74	0.5428565624
75	0.5427523305
76	0.5426816029
77	0.5425707621
78	0.5424986088
79	0.5424287635
80	0.5423269973
81	0.5422350464
82	0.5421361085
83	0.5420576392
84	0.5419677554
85	0.5418985516
86	0.541829059
87	0.5417469219
88	0.5416241772
89	0.541548039
90	0.541452705
91	0.5413868615
92	0.5413020802
93	0.5412086153
94	0.5411139082
95	0.5410552702
96	0.5409840143
97	0.5408900546
98	0.5407896705
99	0.5407256485
100	0.5406595826
101	0.5405815548
102	0.5404855928
103	0.5403975979
104	0.5403381654
105	0.5402507391
106	0.5401882541
107	0.5401334671
108	0.5400630103
109	0.5399988249
110	0.539943367
111	0.5398733888
112	0.5398030726
113	0.5397469904
114	0.5396707072
115	0.5396206043
116	0.5395471448
117	0.539485206
118	0.5394156204
119	0.5393701291
120	0.5393053683
121	0.539235887
122	0.5391835636
123	0.5391321872
124	0.5390896725
125	0.5390400979
126	0.5390007084
127	0.5389574454
128	0.5388991276
129	0.538874275
130	0.5388112925
131	0.5387620719
132	0.5386918347
133	0.5386365069
134	0.5385808777
135	0.5385093804
136	0.5384626067
137	0.5384056953
138	0.5383775891
139	0.5383035347
140	0.5382644772
141	0.538206047
142	0.5381707081
143	0.538122466
144	0.538064282
145	0.5380242362
146	0.5379364604
147	0.5378932968
148	0.5378476624
149	0.5377704543
150	0.5377283293
151	0.5377090789
152	0.53764373
153	0.5376015861
154	0.537543433
155	0.5375086662
156	0.5374543686
157	0.5373859368
158	0.5373431077
159	0.5372989486
160	0.5372733966
161	0.5372230828
162	0.5372163062
163	0.5371630809
164	0.5371082788
165	0.5370805814
166	0.5370432753
167	0.5370068236
168	0.5369699532
